case_id,sim_completed,converged,frequency_nadir_hz,frequency_zenith_hz,max_rotor_angle_separation_deg,max_rotor_angle_separation_raw_deg,max_rotor_angle_separation_coi_deg,final_rotor_angle_separation_coi_deg,mean_frequency_hz,final_mean_frequency_hz,frequency_drift_hz_per_s,initial_pm_pe_residual_norm,initial_pm_pe_max_abs_residual,mean_pm,mean_pe,total_load_mw,total_generation_mw,pm_update_load_shed_mw,pm_update_old_total_load_mw,pm_update_new_total_load_mw,pm_update_old_total_pm,pm_update_new_total_pm,pm_update_mode,max_line_loading_ratio,dynamic_trip_count,dynamic_unstable,dynamic_unstable_by_frequency,dynamic_unstable_by_rotor_angle,dynamic_unstable_by_unresolved_relay,dynamic_unstable_by_sim_failure,dynamic_unstable_by_other,unstable_reason,passive_relay_trip_count,security_redispatch_count,dynamic_load_shed_mw,max_security_violation_loading_ratio,max_relay_violation_loading_ratio,relay_beta,result_source,dynamic_stress_score,stress_rank,stress_reason,group
dyn_case_0011,1,1,49.4460108421774,50.7706173254535,179.92509236616,351.56051256864,179.92509236616,151.104754717992,50.0,50,3.5527136788005e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.370607060814551,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.053989157822599054,17,low_frequency,lodf_top50
dyn_case_0012,1,1,49.4460108421774,50.7706173254535,179.92509236616,350.790739193828,179.92509236616,141.342160557027,49.9999999999999,50,1.4210854715202e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.370222832131086,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.053989157822599054,18,low_frequency,lodf_top50
dyn_case_0009,1,1,49.4612869654147,50.761440364412,179.543510633865,279.639645301827,179.543510633865,130.763735898614,49.9999999999999,50,0.0,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.377150957477115,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.03871303458529951,19,low_frequency,lodf_top50
dyn_case_0042,1,1,49.4612869654147,50.761440364412,179.543510633865,279.639645301827,179.543510633865,130.763735898614,49.9999999999999,50,0.0,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.377150957477115,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.03871303458529951,20,low_frequency,lodf_top50
dyn_case_0047,1,1,49.4612869654147,50.761440364412,179.540981489529,279.710451796233,179.540981489529,130.194184939668,49.9999999999998,50,7.105427357601e-16,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.377029829419891,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.03871303458529951,21,low_frequency,lodf_top50
dyn_case_0029,1,1,49.4655667748224,50.7552689837975,179.389166020682,281.838209094494,179.389166020682,131.852752277459,50.0000000000001,50,1.4210854715202e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.375599440231617,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.034433225177600946,22,low_frequency,lodf_top50
dyn_case_0030,1,1,49.4655667748224,50.7552689837975,179.426456793431,280.986054324073,179.426456793431,130.32911456953,50.0,50,-2.1316282072803e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.377365076233735,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.034433225177600946,23,low_frequency,lodf_top50
dyn_case_0010,1,1,49.4769645670366,50.7553727347983,179.742769954014,298.081625523948,179.742769954014,131.557558925381,49.9999999999997,50,2.1316282072803e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.375390908005156,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.02303543296339683,24,low_frequency,lodf_top50
dyn_case_0026,1,1,49.4776506614557,50.7734886017688,179.991785706884,341.754953004319,179.991785706884,177.70024383775,50.0000000000001,50,7.105427357601e-16,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.375154238613855,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.0223493385443021,25,low_frequency,lodf_top50
dyn_case_0014,1,1,49.4777126727732,50.7578804712801,179.999925408278,339.989063102154,179.999925408278,134.410778514666,50.0000000000001,50,1.4210854715202e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.376282735162776,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.022287327226798936,26,low_frequency,lodf_top50
dyn_case_0021,1,1,49.4777126727732,50.7578804712801,179.986432502118,340.015479252623,179.986432502118,128.569853630237,50.0000000000002,50,1.4210854715202e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.376800055200372,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.022287327226798936,27,low_frequency,lodf_top50
