target_name,target_mode,top_quantile,positive_weight,overall_accuracy,hit_rate,cover_rate,precision,recall,f1,average_precision,roc_auc,mean_positive_score,mean_negative_score,positive_negative_score_gap,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,true_positive,true_negative,false_positive,false_negative,num_labels,num_positive_labels,split
critical_count_top30,critical_count_topq,0.3,2.2611607142857144,0.6274509803921569,0.398989898989899,0.42021276595744683,0.398989898989899,0.42021276595744683,0.40932642487046633,0.40259481724294854,0.5978899036531513,0.4890727010813165,0.4678144595708768,0.0212582415104397,0.3235294117647059,0.0,158,610,238,218,1224,376,train
critical_count_top30,critical_count_topq,0.3,2.2611607142857144,0.7868852459016393,0.6666666666666666,0.631578947368421,0.6666666666666666,0.631578947368421,0.6486486486486486,0.6457366951729411,0.6942355889724311,0.503305949662861,0.4589548685720989,0.044351081090762134,0.29508196721311475,0.0,12,36,6,7,61,19,validation
critical_count_top30,critical_count_topq,0.3,2.2611607142857144,0.6022727272727273,0.3333333333333333,0.32075471698113206,0.3333333333333333,0.32075471698113206,0.3269230769230769,0.37439515796681755,0.5183310323669275,0.4721150685031459,0.46985946353373487,0.002255604969411018,0.2897727272727273,0.0,17,89,34,36,176,53,test
critical_count_top30,critical_count_topq,0.3,50.0,0.3066392881587953,0.3066392881587953,1.0,0.3066392881587953,1.0,0.4693556836039811,0.28774006307142336,0.4749197926949654,0.7360136737780911,0.7360267807441779,-1.3106966086806615e-05,1.0,0.0,448,0,1013,0,1461,448,overall
critical_count_top30,critical_count_topq,0.3,50.0,0.30718954248366015,0.30718954248366015,1.0,0.30718954248366015,1.0,0.47000000000000003,0.2817711225903394,0.4877276947009233,0.7360138668024794,0.7360269201673427,-1.305336486334685e-05,1.0,0.0,376,0,848,0,1224,376,train
critical_count_top30,critical_count_topq,0.3,50.0,0.3114754098360656,0.3114754098360656,1.0,0.3114754098360656,1.0,0.475,0.3388421386767336,0.5451127819548872,0.736016361336959,0.7360345820585886,-1.8220721629602643e-05,1.0,0.0,19,0,42,0,61,19,validation
critical_count_top30,critical_count_topq,0.3,50.0,0.30113636363636365,0.30113636363636365,1.0,0.30113636363636365,1.0,0.46288209606986896,0.34706737475220095,0.37628470624328886,0.736011340933026,0.736023155654349,-1.1814721322944699e-05,1.0,0.0,53,0,123,0,176,53,test
critical_count_top30,critical_count_topq,0.3,100.0,0.3066392881587953,0.3066392881587953,1.0,0.3066392881587953,1.0,0.4693556836039811,0.28770415251174747,0.474904368213228,0.7360568043908903,0.7360698285954843,-1.3024204594036526e-05,1.0,0.0,448,0,1013,0,1461,448,overall
critical_count_top30,critical_count_topq,0.3,100.0,0.30718954248366015,0.30718954248366015,1.0,0.30718954248366015,1.0,0.47000000000000003,0.28175241951653973,0.48772142211963065,0.7360570177118829,0.7360698554735139,-1.283776163096828e-05,1.0,0.0,376,0,848,0,1224,376,train
critical_count_top30,critical_count_topq,0.3,100.0,0.3114754098360656,0.3114754098360656,1.0,0.3114754098360656,1.0,0.475,0.3388421386767336,0.5451127819548872,0.7360590382626182,0.7360791535604567,-2.0115297838518842e-05,1.0,0.0,19,0,42,0,61,19,validation
critical_count_top30,critical_count_topq,0.3,100.0,0.30113636363636365,0.30113636363636365,1.0,0.30113636363636365,1.0,0.46288209606986896,0.34706737475220095,0.37628470624328886,0.7360544901973797,0.7360664591556643,-1.1968958284591658e-05,1.0,0.0,53,0,123,0,176,53,test
critical_count_top30,critical_count_topq,0.3,200.0,0.3066392881587953,0.3066392881587953,1.0,0.3066392881587953,1.0,0.4693556836039811,0.28770415251174747,0.474904368213228,0.7360765948625547,0.7360897835009426,-1.3188638387839902e-05,1.0,0.0,448,0,1013,0,1461,448,overall
