method,universe,K,search_budget_ratio,critical_hit_count,recall_critical,precision_at_k,relay_cascade_hit_count,recall_relay_cascade,island_only_hit_count,recall_island_only,captured_load_shed_mw
residual_second_only,residual,2002,0.065,136,0.6868686868686869,0.06793206793206794,117,0.7597402597402597,19,0.4318181818181818,3390.2835543138162
residual_second_only,residual,2116,0.06870129870129871,147,0.7424242424242424,0.06947069943289225,128,0.8311688311688312,19,0.4318181818181818,3715.6135012507602
residual_second_only,residual,2500,0.08116883116883117,157,0.7929292929292929,0.0628,136,0.8831168831168831,21,0.4772727272727273,4201.1797345733885
residual_second_only,residual,3000,0.09740259740259741,160,0.8080808080808081,0.05333333333333334,138,0.8961038961038961,22,0.5,4251.493970056659
residual_second_only,residual,3080,0.1,162,0.8181818181818182,0.052597402597402594,140,0.9090909090909091,22,0.5,4290.094947530004
residual_second_only,residual,3256,0.10571428571428572,163,0.8232323232323232,0.05006142506142506,141,0.9155844155844156,22,0.5,4401.855585923981
residual_second_only,residual,4000,0.12987012987012986,164,0.8282828282828283,0.041,142,0.922077922077922,22,0.5,4432.913757537111
residual_second_only,residual,4620,0.15,166,0.8383838383838383,0.03593073593073593,144,0.935064935064935,22,0.5,4501.081018686755
residual_second_only,residual,5000,0.16233766233766234,169,0.8535353535353535,0.0338,145,0.9415584415584416,24,0.5454545454545454,4568.832186221634
residual_second_only,residual,6160,0.2,174,0.8787878787878788,0.028246753246753246,147,0.9545454545454546,27,0.6136363636363636,4684.371763795508
residual_second_only,residual,10000,0.3246753246753247,181,0.9141414141414141,0.0181,149,0.9675324675324676,32,0.7272727272727273,4815.312475206801
residual_second_only,residual,30800,1.0,198,1.0,0.0064285714285714285,154,1.0,44,1.0,5263.195860215693
path_prob,full,100,0.003071253071253071,57,0.03249714937286203,0.57,51,0.0310407790626902,6,0.05405405405405406,2018.21342097023
path_prob,full,163,0.005006142506142506,85,0.04846066134549601,0.5214723926380368,79,0.04808277541083384,6,0.05405405405405406,3030.497140350286
path_prob,full,200,0.006142506142506142,96,0.05473204104903079,0.48,89,0.054169202678027994,7,0.06306306306306306,3408.2752701895406
