library_path,block_name,mask_type,port_structure,physical_port_count,inport_count,outport_count,likely_compatible_with_l01,requires_control_input,note
"sps_lib/Control/Edge Detector/Model/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/Filters/Second-Order\nFilter\n(Variable-Tuned)/Model/Multiport\nSwitch","Multiport\nSwitch","",Inport:5;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,5,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/Monostable/Model/Continuous\nEdge Detector/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/Monostable/Model/Sample and\nHold/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/Off Delay/Model/OFF Delay/Edge Detector/Model/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/Off Delay/Model/OFF Delay/Sample and\nHold/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/Off Delay/Model/ON Delay/Edge Detector/Model/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/Off Delay/Model/ON Delay/Sample and\nHold/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/On Delay/Model/OFF Delay/Edge Detector/Model/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/On Delay/Model/OFF Delay/Sample and\nHold/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/On Delay/Model/ON Delay/Edge Detector/Model/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/On Delay/Model/ON Delay/Sample and\nHold/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/PLL/Model/Automatic Gain\nControl/Fundamental\n(PLL-Driven)/Mean\n(Variable Frequency)1/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/PLL/Model/Automatic Gain\nControl/Fundamental\n(PLL-Driven)/Mean\n(Variable Frequency)2/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/PLL/Model/Mean\n(Variable Frequency)/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/PLL\n(3ph)/Model/Automatic Gain\nControl/Positive-Sequence\n(PLL-Driven)/Mean\n(Variable Frequency)1/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/PLL\n(3ph)/Model/Automatic Gain\nControl/Positive-Sequence\n(PLL-Driven)/Mean\n(Variable Frequency)2/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/PLL\n(3ph)/Model/Automatic Gain\nControl/Positive-Sequence\n(PLL-Driven)/abc ->dq0/Alpha-Beta-Zero\nto dq0/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/PLL\n(3ph)/Model/Variable Frequency\nMean value/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/PLL\n(3ph)/Model/abc to dq0/Alpha-Beta-Zero\nto dq0/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/Sample and\nHold/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/abc to dq0/Alpha-Beta-Zero\nto dq0/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/dq0 to\nAlpha-Beta-Zero/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/dq0 to abc/dq0 to\nAlpha-Beta-Zero/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\nSI Units/Electrical model/Asynchronous Machine\nState-space model/Saturation/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\nSI Units/Electrical model/Asynchronous Machine\nState-space model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Asynchronous Machine\nSI Units/Electrical model/Asynchronous Machine\nState-space model/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
