step,episode,episode_return,negative_return,initial_outages,initial_outage_type,initial_outage_order,chronic_index,policy_loss,value_loss,entropy,approx_kl,clip_fraction,num_generations,num_line_outages,load_shed_MW,num_proactive_actions,num_invalid_actions
159,136,-105.11561107461908,105.11561107461908,3,N-1,1,797,0.0,0.0,0.0,0.0,0.0,1,7,31.511447572708136,1,0
160,137,-103.68308842990255,103.68308842990255,"1,4",common_bus_N-2,2,127,0.0,0.0,0.0,0.0,0.0,1,6,195.26549963951112,1,0
161,138,-110.32817164996655,110.32817164996655,"6,9",common_bus_N-2,2,128,0.0,0.0,0.0,0.0,0.0,1,13,217.15091071128845,1,0
162,139,-104.36357039088907,104.36357039088907,6,N-1,1,694,0.0,0.0,0.0,0.0,0.0,1,6,109.1460320353508,1,0
164,140,-113.3818462892496,113.3818462892496,"3,7",common_bus_N-2,2,207,0.0,0.0,0.0,0.0,0.0,2,15,161.4844920158386,1,0
165,141,-100.15345349375146,100.15345349375146,"6,8",common_bus_N-2,2,679,0.0,0.0,0.0,0.0,0.0,1,3,17.478169441223145,1,0
166,142,-107.86270749482475,107.86270749482475,"9,11",common_bus_N-2,2,1249,0.0,0.0,0.0,0.0,0.0,1,10,51.706272220611574,0,0
167,143,-0.1,0.1,"14,16",common_bus_N-2,2,285,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
168,144,-104.22897211604652,104.22897211604652,"2,3",common_bus_N-2,2,1071,0.0,0.0,0.0,0.0,0.0,1,7,46.8221640944481,1,0
169,145,-100.1,100.1,"2,5",common_bus_N-2,2,1431,0.0,0.0,0.0,0.0,0.0,1,3,46.714768695831296,1,0
170,146,-100.1,100.1,"3,5",common_bus_N-2,2,1967,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
171,147,-100.1,100.1,"15,17",common_bus_N-2,2,533,0.0,0.0,0.0,0.0,0.0,1,3,7.909111797809601,1,0
173,148,-102.19501662508318,102.19501662508318,12,N-1,1,727,0.0,0.0,0.0,0.0,0.0,2,4,0.0,2,0
174,149,-107.46321987593598,107.46321987593598,"3,6",common_bus_N-2,2,723,0.0,0.0,0.0,0.0,0.0,1,10,181.74491124153138,1,0
175,150,-0.1,0.1,3,N-1,1,1332,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
176,151,-103.57071688229061,103.57071688229061,"2,4",common_bus_N-2,2,293,0.0,0.0,0.0,0.0,0.0,1,6,129.07028338313103,1,0
177,152,-102.19403228322409,102.19403228322409,"15,16",common_bus_N-2,2,86,0.0,0.0,0.0,0.0,0.0,1,5,34.256906509399414,1,0
179,153,-105.30094300086536,105.30094300086536,"6,7",common_bus_N-2,2,1126,0.0,0.0,0.0,0.0,0.0,2,8,31.323970794677734,2,0
180,154,-103.5726521228005,103.5726521228005,"0,4",common_bus_N-2,2,761,0.0,0.0,0.0,0.0,0.0,1,6,140.29940354824066,1,0
181,155,-103.61382275380667,103.61382275380667,"18,19",common_bus_N-2,2,331,0.0,0.0,0.0,0.0,0.0,1,6,163.61766033172609,1,0
182,156,-0.1,0.1,"5,8",common_bus_N-2,2,1071,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
183,157,-102.11845102866235,102.11845102866235,"15,16",common_bus_N-2,2,1292,0.0,0.0,0.0,0.0,0.0,1,5,10.628118681907651,1,0
184,158,-102.59507407250477,102.59507407250477,1,N-1,1,36,0.0,0.0,0.0,0.0,0.0,1,4,134.22435867786407,1,0
186,159,-102.22976565983222,102.22976565983222,"3,4",common_bus_N-2,2,1658,0.0,0.0,0.0,0.0,0.0,2,5,7.032650649547577,2,0
187,160,-103.1886512783538,103.1886512783538,"11,12",common_bus_N-2,2,821,0.0,0.0,0.0,0.0,0.0,1,6,29.487391591072083,1,0
188,161,-105.97140508852192,105.97140508852192,"9,11",common_bus_N-2,2,588,0.0,0.0,0.0,0.0,0.0,1,8,37.51962348818779,0,0
189,162,-107.07207974764873,107.07207974764873,"1,9",common_bus_N-2,2,1079,0.0,0.0,0.0,0.0,0.0,1,10,48.16933263540268,1,0
190,163,-105.44874163397056,105.44874163397056,"3,6",common_bus_N-2,2,1651,0.0,0.0,0.0,0.0,0.0,1,8,99.19599897861481,1,0
191,164,-105.60326650154123,105.60326650154123,"2,3",common_bus_N-2,2,460,0.0,0.0,0.0,0.0,0.0,1,8,174.74060378074645,1,0
192,165,-104.52617661348233,104.52617661348233,"3,8",common_bus_N-2,2,1531,0.0,0.0,0.0,0.0,0.0,1,7,140.33011198043823,1,0
193,166,-0.1,0.1,15,N-1,1,1981,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
194,167,-107.09918059853776,107.09918059853776,"9,12",common_bus_N-2,2,603,0.0,0.0,0.0,0.0,0.0,1,10,67.22209386825561,1,0
195,168,-100.1,100.1,5,N-1,1,1156,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
196,169,-105.58481619163742,105.58481619163742,"2,3",common_bus_N-2,2,1537,0.0,0.0,0.0,0.0,0.0,1,8,167.0724317550659,1,0
197,170,0.0,-0.0,18,N-1,1,1080,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0
198,171,-100.1,100.1,"8,16",common_bus_N-2,2,941,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
199,172,-105.10968756325322,105.10968756325322,"9,10",common_bus_N-2,2,1142,0.0,0.0,0.0,0.0,0.0,1,8,28.07280081510544,1,0
200,173,-106.2053999234284,106.2053999234284,"8,14",common_bus_N-2,2,1871,0.0,0.0,0.0,0.0,0.0,1,9,79.52090418338776,1,0
202,174,-103.18013266932446,103.18013266932446,"14,16",common_bus_N-2,2,2000,0.0,0.0,0.0,0.0,0.0,2,6,0.0,2,0
203,175,-105.16358616668495,105.16358616668495,"14,16",common_bus_N-2,2,371,0.0,0.0,0.0,0.0,0.0,1,8,59.22186137437821,1,0
204,176,-100.1,100.1,12,N-1,1,713,0.0,0.0,0.0,0.0,0.0,1,2,0.0,1,0
205,177,-104.53615611607665,104.53615611607665,7,N-1,1,493,0.0,0.0,0.0,0.0,0.0,1,6,130.49093502759933,1,0
206,178,-102.08013266932447,102.08013266932447,8,N-1,1,1515,0.0,0.0,0.0,0.0,0.0,1,4,0.0,1,0
208,179,-104.30835392761229,104.30835392761229,"8,16",common_bus_N-2,2,1492,0.0,0.0,0.0,0.0,0.0,2,7,34.004088163375854,2,0
209,180,-100.0,100.0,"16,19",common_bus_N-2,2,1520,0.0,0.0,0.0,0.0,0.0,1,2,15.50696758031845,0,0
211,181,-107.10432312435489,107.10432312435489,"14,16",common_bus_N-2,2,1514,0.0,0.0,0.0,0.0,0.0,2,8,63.18278710842132,0,0
212,182,-100.1,100.1,"7,13",common_bus_N-2,2,493,0.0,0.0,0.0,0.0,0.0,1,3,0.0,1,0
213,183,-100.1,100.1,"15,17",common_bus_N-2,2,1301,0.0,0.0,0.0,0.0,0.0,1,3,9.32270085811615,1,0
